pid,format,categoria,title,creator_s,translation,language,organization,year,original_link
recsp15,libros,Testimonios y Experiencias,Antígona González,Sandra Uribe,,Español,Sur+Ediciones,2012,https://poesiamexa.files.wordpress.com/2016/06/antc3adgona-gonzc3a1lez.pdf
recsp16,libros,Historia/Contexto/Investigación,Capitalismo gore,Sayak Valencia,,Español,Melusina,2010,https://www.melusina.com/libro.php?idg=39246
recsp17,libros,Estudios de Caso,Huesos en el desierto,Sergio González Rodríguez,,Español,Anagrama,2010,https://www.anagrama-ed.es/libro/cronicas/huesos-en-el-desierto/9788433925541/CR_54
recsp18,libros,Testimonios y Experiencias,Los 43 de Iguala. México: verdad y reto de los estudiantes desaparecidos,Sergio González Rodríguez,,Bilingüe,Anagrama,2015,https://www.anagrama-ed.es/libro/cronicas/los-43-de-iguala/9788433926098/CR_109
recsp19,libros,Testimonios y Experiencias,Recetario para la memoria,"Zahara Gómez Lucini, Las Rastreadoras del Fuerte
",,Español,,2020,https://www.recetarioparalamemoria.com/en/inicio
recsp20,libros,Historia/Contexto/Investigación,Land of open graves,Jason de León,,Inglés,University of California Press,2015,https://www.ucpress.edu/book/9780520282759/the-land-of-open-graves
recsp21,periodismo,Historia/Contexto/Investigación,El país de las dos mil fosas,"Alejandra Guillén, Mago Torres and Marcela Turati",,Español,A dónde van los desaparecidos,2018,https://adondevanlosdesaparecidos.org/2018/11/12/2-mil-fosas-en-mexico/
recsp22,periodismo,Historia/Contexto/Investigación,Crisis Forense,"Marcela Turati, Efraín Tzuc",,Español,Quinto Elemento Lab,,https://quintoelab.org/crisisforense/
recsp23,periodismo,Testimonios y Experiencias,Gone (Ausentes),"Stephanie Nolen, Félix Márquez",,Bilingüe,The Globe and Mail,2020,https://www.theglobeandmail.com/world/article-los-desaparecidos-una-mirada-dentro-de-las-familias-que-arriesgan-todo/
recsp24,multimedia,Historia/Contexto/Investigación,Desaparecido es un lugar (A place called Disappeared),Daniela Rea,,Bilingüe,Global Initiative Resilience Fund,2021,https://landscapes.globalinitiative.net/index.html
